wkt_geom	fid	id	T_78to14	P_78to14
Point (-93.87133180000010668 38.23224799999999846)	257	256	0.02271	225.69965
Point (-94.45466560000001266 38.39891480000000001)	147	146	0.02273	163.20905
Point (-93.66299830000014026 38.0655811999999969)	358	357	0.0228	307.41608
Point (-93.78799840000012011 38.02391449999999651)	379	378	0.02285	318.72565
Point (-94.03799860000007982 38.39891480000000001)	157	156	0.02293	174.89368
Point (-94.24633210000004624 38.23224799999999846)	248	247	0.02293	213.17505
Point (-93.74633170000012683 38.02391449999999651)	380	379	0.02295	319.2052
Point (-94.16299870000005967 38.4405815000000004)	130	129	0.02304	182.60406
Point (-94.24633210000004624 38.39891480000000001)	152	151	0.02305	193.41425
Point (-94.45466560000001266 38.35724809999999962)	171	170	0.02311	174.59808
Point (-93.8296651000001134 38.10724789999999729)	330	329	0.02312	309.74707
Point (-94.20466540000005295 38.4405815000000004)	129	128	0.02321	187.71143
Point (-94.24633210000004624 38.35724809999999962)	176	175	0.02324	222.95239
Point (-93.78799840000012011 38.0655811999999969)	355	354	0.02327	318.87299
Point (-94.24633210000004624 38.4405815000000004)	128	127	0.02327	173.73663
Point (-94.41299890000001938 38.48224820000000079)	100	99	0.02331	182.73987
Point (-93.8296651000001134 38.14891459999999768)	306	305	0.02335	285.62305
Point (-94.41299890000001938 38.4405815000000004)	124	123	0.0234	174.72211
Point (-93.70466500000013355 38.0655811999999969)	357	356	0.0235	320.58124
Point (-93.8296651000001134 38.19058129999999807)	282	281	0.02353	255.56525
Point (-93.91299850000009997 38.31558139999999923)	208	207	0.02353	179.56104
Point (-93.57966490000015369 38.14891459999999768)	312	311	0.02354	269.96045
Point (-94.12133200000006639 38.4405815000000004)	131	130	0.02366	167.2514
Point (-93.78799840000012011 38.10724789999999729)	331	330	0.02369	307.31042
Point (-93.62133160000014698 38.10724789999999729)	335	334	0.02369	292.75885
Point (-94.24633210000004624 38.31558139999999923)	200	199	0.02369	243.45953
Point (-94.41299890000001938 38.52391490000000118)	76	75	0.0237	180.22363
Point (-94.20466540000005295 38.48224820000000079)	105	104	0.02375	161.20642
Point (-94.37133220000002609 38.48224820000000079)	101	100	0.02376	179.00983
Point (-93.95466520000009325 38.35724809999999962)	183	182	0.02377	186.47168
Point (-94.32966550000003281 38.48224820000000079)	102	101	0.02378	167.59747
Point (-93.74633170000012683 38.0655811999999969)	356	355	0.02379	323.57861
Point (-93.87133180000010668 38.27391469999999885)	233	232	0.02379	195.23767
Point (-94.28799880000003952 38.4405815000000004)	127	126	0.02379	164.54907
Point (-94.24633210000004624 38.48224820000000079)	104	103	0.02379	162.85962
Point (-94.28799880000003952 38.48224820000000079)	103	102	0.0238	162.61237
Point (-94.24633210000004624 38.27391469999999885)	224	223	0.02381	223.32208
Point (-94.41299890000001938 38.39891480000000001)	148	147	0.02387	166.79718
Point (-94.28799880000003952 38.39891480000000001)	151	150	0.02392	176.83081
Point (-94.0796653000000731 38.4405815000000004)	132	131	0.02392	156.52917
Point (-93.66299830000014026 38.10724789999999729)	334	333	0.02396	307.362
Point (-93.70466500000013355 38.10724789999999729)	333	332	0.02397	314.48114
Point (-94.45466560000001266 38.31558139999999923)	195	194	0.02399	177.24548
Point (-94.37133220000002609 38.4405815000000004)	125	124	0.02399	175.39526
Point (-93.8296651000001134 38.23224799999999846)	258	257	0.02401	223.45044
Point (-93.70466500000013355 38.14891459999999768)	309	308	0.02403	283.44928
Point (-93.74633170000012683 38.10724789999999729)	332	331	0.02403	310.1861
Point (-94.03799860000007982 38.4405815000000004)	133	132	0.02404	152.11786
Point (-93.78799840000012011 38.14891459999999768)	307	306	0.02412	278.51697
Point (-93.99633190000008653 38.39891480000000001)	158	157	0.02412	176.02203
Point (-94.45466560000001266 38.23224799999999846)	243	242	0.02415	167.00085
Point (-93.74633170000012683 38.14891459999999768)	308	307	0.02417	275.18524
Point (-93.57966490000015369 38.19058129999999807)	288	287	0.02419	244.15619
Point (-94.41299890000001938 38.19058129999999807)	268	267	0.02419	177.565
Point (-93.66299830000014026 38.14891459999999768)	310	309	0.02423	287.25586
