Checked	Common_name	Code	Date_received	Location.x	Region	Ocean	Cause_of_death	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	scrubbed_uoa_code	reconciled_alternate_code	UoA_Code	Species_subspecies	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB	reconciliation_notes	pathology_code	hologenome_region	collection_date_mod	broad_location	review
Yes	Uncertain	Che08NZ11 (H159/08)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: None	CHE08NZ11	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H159	NA	NA	NA	OK
Yes	Uncertain	Che08NZ12 (H166/08)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: W09-01Ch	CHE08NZ12	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H166	NA	NA	NA	OK
Yes	Uncertain	Che08NZ13 (H168/08)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: W09-09Ch	CHE08NZ13	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H168	NA	NA	NA	OK
Yes	Uncertain	Che08NZ14 (H173/08)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: W09-05Ch	CHE08NZ14	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H173	NA	NA	NA	OK
Yes	Hector's dolphin	Che09NZ01 (H177/09; U09-004)	Feb-09	Punakaiki Beach, West Coast	West Coast	Tasman	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: None	CHE09NZ01	NA	Che09NZ01	Cephalorhynchus hectori hectori	NA	NA	beachcast	Chippy Wood	Punakaiki/Paparoa	0.765	NA	Male	NA	H177/09	NA	NA	NA	NA	NA	NA	M	Jb	24	no	no	Although NZCETA had some information for this sample, it did not have info for 'Sex'. This was taken from DOC_Massey	H177	SI West Coast	5-Feb-2009	Barrytown/Punakaiki	OK
Yes	Hector's dolphin	Che09NZ04 (H193/09; U09-177)	NA	Bold Head, Hokitika	West Coast	Tasman	NA	NA	No	Yes	No	ID#H196/10. TL=1.37m. Body fresh with cuts consistent with net entanglement. Sent to Wendy Roe at Massey. Extracted by RMH.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples (one out of two in Becca's box), one disposed. Massey code: W10-03Ch	CHE09NZ04	NA	Che09NZ04	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	juvenile	Unknown	NA	H193/09	NA	NA	NA	NA	NA	NA	NA	Jb	15	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H193	SI West Coast	24-Dec-2009	Hokitika	OK
Yes	Hector's dolphin	Che09NZ05 (H179/09; U09-209)	NA	200m south of South Brighton surf clubrooms, Pegasus Bay	NA	NA	NA	NA	No	Yes	No	H194/10. Hectors calf.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples, both kept becasuse one was teeth. Massey code: W10-02Ch	CHE09NZ05	NA	Che09NZ05	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	TBC	NA	NA	H179/09	NA	NA	NA	NA	NA	44853	M	Cb1	18	no	no	DOC_Massey made this observation of Observed_sex 'TBC'. NZCETA had no information for this individual	H179	SI East Coast	11-Mar-2009	Pegasus Bay	OK
Yes	Hector's dolphin	Che09NZ06 (H181/09; U09-210)	NA	Found in Timaru port near No 1 wharf beside Sang Wong Cool Stores by employee, and recovered	NA	NA	NA	NA	No	Yes	No	Hector's dolphin ID#H199/10. TL=1.39m. Very fresh. Body sent to Massey.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Three samples, two kept becasuse one was teeth. Massey code: None	CHE09NZ06	NA	Che09NZ06	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	TBC	NA	NA	H181/09	NA	NA	W09-10Ch	NA	NA	NA	NA	Cb1	4	no	no	DOC_Massey made this observation of Observed_sex 'TBC'. NZCETA had no information for this individual	H181	SI East Coast	25-Mar-2009	Timaru	OK
Yes	Hector's dolphin	Che09NZ07 (H183/09; U09-211)	NA	Taylors Mistake, Christchurch, Pegasus Bay	NA	NA	NA	NA	No	Yes	No	Hector's dolphin ID#H200/10. TL=0.73m. Calf.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Same sample as Che10NZ10. Massey code: None	CHE09NZ07	NA	Che09NZ07	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	subadult	Male	NA	H183/09	NA	NA	W09-12Ch	NA	NA	NA	M	Ca	24	no	no	"NA"	H183	SI East Coast	30-Aug-2009	Pegasus Bay	OK
Yes	Hector's dolphin	Che09NZ08 (H185/09; U09-212)	NA	Quail Island, Lyttelton Harbour	NA	NA	NA	NA	No	Yes	No	Skull fragment handed to DoC by member of the public. Identified as hector's dolphin By Anton van Helden. Estimated length of intact skull = 27cm. This sample is a piece of cartilage. ID#H201/10. Conservancy Stranding No: WC262.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Massey code: None	CHE09NZ08	NA	Che09NZ08	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	unknown	Unknown	NA	H185/09	NA	NA	NA	NA	NA	NA	M	D	23	no	no	Although NZCETA had some information for this sample, it did not have info for 'Sex'. This was taken from DOC_Massey	H185	SI East Coast	4-Sep-2009	Lyttelton	OK
Yes	Hector's dolphin	Che09NZ09 (H188/09; U09-213)	NA	Rakaia River Mouth - 5 km north beside sea/lagoon barrier, Canterbury	NA	NA	NA	NA	No	Yes	No	Maui found approx. 500m from Indicators Point Raglan floating and towed by boat to Manu Bay boat ramp. Carcass chilled and sent to Massey. ID#H202. TL=1.22m	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Four samples, two kept because one was teeth. Massey code: W10-07Chh	CHE09NZ09	NA	Che09NZ09	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	adult	Female	NA	H188/09	NA	NA	W09-15Ch	NA	NA	NA	F	Cb2	24	no	no	"NA"	H188	SI East Coast	30-Oct-2009	Canterbury	OK
Yes	Hector's dolphin	Che09NZ10 (H190/09; U09-214)	NA	Otarawao Bay, Croisilles Harbour, western Marlborough Sounds, Tasman Bay	Marlborough	Tasman	NA	NA	NA	Yes	NA	NA	Added to the database by Sahar. Two sapmles, both kept as one was teeth. One out of two samples (teeth) in Becca's box. Massey code: W10-01Ch	CHE09NZ10	NA	Che09NZ10	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	adult	Male	NA	H190/09	NA	NA	W09-19Ch	NA	NA	44230	M	Ha	24	no	no	Region was originally 'Western Marlborough Sounds'. Modified to 'Marlborough' for consistency with other samples	H190	SI North Coast	6-Nov-2009	Marlborough	OK
Yes	Uncertain	Che09NZ11 (H175/09)	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	Added to the database by Sahar. Two sapmles, both kept as one was teeth. Massey code: None	CHE09NZ11	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H175	NA	NA	NA	OK
Yes	Uncertain	Che09NZ12 (H176/09)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: None	CHE09NZ12	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H176	NA	NA	NA	OK
Yes	Uncertain	Che09NZ13 (H180/09)	NA	NA	NA	NA	NA	NA	No	Yes	No	Hector's dolphin ID#H200/10. TL=0.73m. Calf.	Added to the datbase by Sahar. Same sample as Che10NZ04. Massey code: None	CHE09NZ13	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H180	NA	NA	NA	OK
Yes	Uncertain	Che09NZ14 (H182/09)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: None	CHE09NZ14	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H182	NA	NA	NA	OK
Yes	Uncertain	Che09NZ15 (H186/09)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: None	CHE09NZ15	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H186	NA	NA	NA	OK
Yes	Uncertain	Che09NZ16 (H189/09)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: None	CHE09NZ16	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H189	NA	3-Nov-2009	NA	OK
Yes	Hector's dolphin	Che10NZ01 (H196/10; U10-013)	NA	Greymouth	West Coast	Tasman	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: None	CHE10NZ01	NA	Che10NZ01	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Unknown	NA	H196/10	NA	NA	W10-03Ch	NA	NA	NA	NA	Jb	16	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H196	SI West Coast	28-Feb-2010	Greymouth	OK
Yes	Hector's dolphin	Che10NZ02 (H194/10; U10-043)	NA	Pahia Point, Southland, near Te Waewae Bay	NA	NA	NA	NA	NA	NA	NA	No sheet - RMH to request.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar.Massey code: Wnone	CHE10NZ02	NA	Che10NZ02	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	calf	NA	NA	H194/10	NA	NA	W10-02Ch	NA	NA	NA	NA	M	13	no	no	"NA"	H194	SI South Coast	25-Jan-2010	Te Waewae	OK
Yes	Hector's dolphin	Che10NZ03 (H199/10; U10-102)	NA	1km south of Ruatapu, near Hokitika	West Coast	Tasman	NA	NA	NA	NA	NA	Two samples (One AS Che11NZ06Collection of Hectors dolphin samples in 2018). #46900	Added to the database by Sahar. Massey code: None	CHE10NZ03	NA	Che10NZ03	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	NA	NA	Female	NA	H199/10	NA	NA	NA	NA	NA	NA	F	Cb1	24	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;DOC_Massey had 'D. Neale' for 'Collected_By' and 'West Coast' for 'DoC_Agency'	H199	SI West Coast	27-Sep-2010	Hokitika	OK
Yes	Hector's dolphin	Che10NZ05 (H201/10; U10-166)	NA	Cobden Beach, Greymouth	West Coast	Tasman	NA	NA	No	Yes	No	No sheet - RMH to request.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar.Massey code: None	CHE10NZ05	NA	Che10NZ05	Cephalorhynchus hectori hectori	N53003	E14519	beachcast	Don Neale	Hokitika	NA	NA	Unknown	NA	H201/10	NA	NA	NA	NA	NA	NA	NA	Ha	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;DOC_Massey had 'D. Neale' for 'Collected_By' and 'West Coast' for 'DoC_Agency'	H201	SI West Coast	27-Oct-2010	Greymouth	OK
Yes	Hector's dolphin	Che10NZ07 (H195/10; U10-182)	NA	Timaru	NA	NA	NA	NA	NA	NA	NA	MAUI'S DOLPHIN	Added to the database by Sahar. Massey code: W13-17Ch	CHE10NZ07	NA	Che10NZ07	Cephalorhynchus hectori hectori	NA	NA	Beachcast	NA	NA	NA	NA	NA	NA	H195/10	NA	NA	W10-01Ch	NA	NA	NA	M	Cb1	23	no	no	"NA"	H195	SI East Coast	12-May-2010	Timaru	OK
Yes	Hector's dolphin	Che10NZ08 (H197/10; U10-183)	NA	3km N of Kekerengu, Canterbury	NA	NA	NA	NA	NA	Yes	NA	TL = 1.36m	NA	CHE10NZ08	NA	Che10NZ08	Cephalorhynchus hectori hectori	N5351463	E1685058	Beachcast	NA	Renwick	NA	juvenile	Male	NA	H197/10	NA	NA	NA	NA	NA	45290	M	Cb1	23	no	no	"NA"	H197	SI East Coast	16-Mar-2010	Canterbury	OK
Yes	Hector's dolphin	Che10NZ09 (H198/10; U10-184)	NA	Ashworth's Beach, north of Christchurch; (Beach between Ashley River Mouth and  Ash----- Lagoon? can't read incident report), Pegasus Bay	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Two samples, one disposed. Massey code: WS99-22Ch	CHE10NZ09	NA	Che10NZ09	Cephalorhynchus hectori hectori	N577186?	E2488070	Beachcast	NA	NA	NA	NA	NA	NA	H198/10	NA	NA	NA	NA	NA	45494	F	Ca	24	no	no	"NA"	H198	SI East Coast	3-Oct-2010	Pegasus Bay	OK
Yes	Hector's dolphin	Che10NZ11 (H203/10; U10-186)	NA	Waikuku Beach, Canterbury, Pegasus Bay	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.incidental catch (net) found beachcast	NA	CHE10NZ11	NA	Che10NZ11	Cephalorhynchus hectori hectori	N5206836	E1577360	Beachcast	NA	NA	NA	neonate	Male	NA	H203/10	NA	NA	NA	NA	NA	45752	M	Ca	23	no	no	"NA"	H203	SI East Coast	8-Dec-2010	Pegasus Bay	OK
Yes	Hector's dolphin	Che11NZ01 (H204/11; U11-015)	NA	Kaka Point, Otago	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.net entangelment, found beachcast	NA	CHE11NZ01	NA	Che11NZ01	Cephalorhynchus hectori hectori	NA	NA	Beachcast	NA	NA	NA	neonate	Female	NA	H204/11	NA	NA	NA	NA	NA	NA	F	Z	24	no	no	"NA"	H204	SI East Coast	24-Jan-2011	Otago	OK
Yes	Hector's dolphin	Che11NZ02 (H205/11; U11-016)	NA	Magnet Bay, Banks Peninsula	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesin gillnetalternate code = CETOS 8506	NA	CHE11NZ02	NA	Che11NZ02	Cephalorhynchus hectori hectori	NA	NA	Beachcast	NA	NA	NA	juvenile	Unknown	NA	H205/11	NA	NA	NA	NA	NA	NA	M	Cb1	24	no	no	Although NZCETA had some information for this sample, it did not have info for 'Sex'. This was taken from DOC_Massey;NZCETA had a Date_stranded of '24/01/2011', one day later than Collection_Date of DOC_Massey	H205	SI East Coast	23-Jan-2011	Banks Peninsula	OK
Yes	Hector's dolphin	Che11NZ03 (H207/11; U11-017)	NA	Governors Bay, Lyttelton Harbour, Canterbury	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesnetted??alternate code = CETOS 8508	NA	CHE11NZ03	NA	Che11NZ03	Cephalorhynchus hectori hectori	NA	NA	Beachcast	NA	NA	NA	adult	Female	NA	H207/11	NA	NA	NA	NA	NA	46037	F	W	24	no	no	"NA"	H207	SI East Coast	9-Mar-2011	Lyttelton	OK
Yes	Hector's dolphin	Che11NZ04 (H208/11; U11-018)	NA	Sandy Beach, Governors Bay, Lyttelton Harbour, Canterbury	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesnettedalternate code = CETOS 8845	NA	CHE11NZ04	NA	Che11NZ04	Cephalorhynchus hectori hectori	NA	NA	Beachcast	NA	NA	NA	neonate	Male	NA	H208/11	NA	NA	NA	NA	NA	46194	M	P	24	no	no	"NA"	H208	SI East Coast	17-Apr-2011	Lyttelton	OK
Yes	Hector's dolphin	Che11NZ05 (H210/11; U11-050)	NA	Matau Branch, Clutha River mouth, Otago	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesrope marks on tail, probable entanglementalternate code = CETOS 8848	NA	CHE11NZ05	NA	Che11NZ05	Cephalorhynchus hectori hectori	NA	NA	beachcast	Jim Fyfe	Otago	1.34	adult	Female	NA	H210/11	NA	NA	NA	NA	NA	NA	F	Z	23	no	no	"NA"	H210	SI East Coast	17-Oct-2011	Otago	OK
Yes	Hector's dolphin	Che11NZ06 (H211/11; U11-051)	NA	Clark's Beach, Manukau Harbour, Auckland	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 8958	NA	CHE11NZ06	NA	Che11NZ06	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	H211/11	NA	NA	NA	NA	NA	NA	F	Cb1	26	no	no	Down as Hector's dolphin, but apparently sampled within range of Maui dolphin	H211	Maui	26-Oct-2011	Auckland	OK
Yes	Hector's dolphin	Che12NZ01 (H213/12; U12-003)	NA	Waimakariri River mouth, Pegasus Bay	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 8959	NA	CHE12NZ01	NA	Che12NZ01	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	Christchurch	1.27	adult	Male	NA	H213/12	NA	NA	W12-02Ch	NA	NA	47147	M	Cb	26	no	no	Although NZCETA had some information for this sample, it did not have info for 'Sex'. This was taken from DOC_Massey	H213	SI East Coast	7-Feb-2012	Pegasus Bay	OK
Yes	Uncertain	Che67	NA	NA	NA	NA	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS01	NA	CHE67	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	NA	NA	NA	NA	OK
Yes	Hector's dolphin	Che9362	NA	NA	NA	NA	NA	NA	NA	No	NA	WC299decomposed, incomplete animal, no TLPhotos: yes	NA	CHE9362	NA	9362 (all tube says); 9362 corrected to 9363 on Ancient Franz Box sheet	Cephalorhynchus hectori hectori	NA	NA	Beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9362	NA	F	Cb1	24	no	no	collection_date_mod taken from NZCETA because Collection_Date not given for DOC_Massey	NA	NA	28-Nov-1994	NA	OK
Yes	Hector's dolphin	Che98NZ01	Jan-06	Hannahs Clearing ~Haast NZMS260 F37 774 880	West Coast	Tasman	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesnettedalternate code = CETOS 8736, monz2008	NA	CHE98NZ01	NA	Che98NZ01	Cephalorhynchus hectori hectori	NA	NA	beachcast	Megan Hieatl and Paul vanKilnk	Haast	1.36	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	M	Hc	0	no	no	"NA"	NA	SI West Coast	24-Jul-1998	Haast/Jackson Bay	OK
NA	Hector's dolphin	CheBP01	Dec-94	Pegasus Bay, north of south New Brighton beach, Christchurch	Christchurch	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9363	NA	CHEBP01	NA	CheBP01	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	Chch1	NA	NA	NA	NA	M	C	2	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	26-Nov-1994	Pegasus Bay	OK
NA	Hector's dolphin	CheBP02	Dec-94	Pegasus Bay, Sumner Christchurch	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesgillnettedalternate code = CETOS 8844	NA	CHEBP02	NA	CheBP02	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	Chch2	NA	NA	NA	NA	F	C	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	2-Dec-1994	Pegasus Bay	OK
NA	Hector's dolphin	CheBP03	Dec-94	Pegasus Bay, south New Brighton Beach, Christchutch	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesnot many notes....alternate code = CETOS 9579	NA	CHEBP03	NA	CheBP03	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	Chch3	NA	NA	NA	NA	M	D	20	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	1-Dec-1994	Pegasus Bay	OK
NA	Hector's dolphin	CheBP04	NA	Akaroa, middle of Le Bons Bay, 1nm offshore in net	NA	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesTl = 130cmteeth samplesalternate code = CETOS 8610	NA	CHEBP04	NA	CheBP04	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 8506	NA	F	A	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	21-Apr-1985	Banks Peninsula	OK
NA	Hector's dolphin	CheBP05	NA	Pegasus Bay, New Brighton Beach, close inshore	Canterbury	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesTL = 1.005mskin and teeth samplealternate code = CETOS 9589	NA	CHEBP05	NA	CheBP05	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 8508	NA	M	C	1	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	5-Dec-1985	Pegasus Bay	OK
NA	Hector's dolphin	CheBP06	NA	Akaroa, caught off Akaroa harbour, off Onawe peninsula	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 95090	NA	CHEBP06	NA	CheBP06	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 8845	NA	M	C	13	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	16-Jan-1988	Akaroa	OK
NA	Hector's dolphin	CheBP07	NA	Akaroa	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesvery decomposedalternate code = CETOS 96100	NA	CHEBP07	NA	CheBP07	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 8848	NA	M	C	3	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	3-Apr-1988	Akaroa	OK
NA	Hector's dolphin	CheBP08	NA	Pegasus Bay, Pines Beach, Waimakariri River Mouth	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesdecomposed but with very clear knife cuts, very young, too young to have teeth?alternate code = CETOS 96107	NA	CHEBP08	NA	CheBP08	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 8958	NA	F	C	3	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	11-Jan-1989	Pegasus Bay	OK
NA	Hector's dolphin	CheBP09	NA	Pegasus Bay, Lyttelton Harbour	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notescaught by fishermen, CSLP observer programmealternate code = CETOS 98112	Two samples, one disposed. Massey code: WB98-18Ch	CHEBP09	NA	CheBP09	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 8959	NA	M	E	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	20-Dec-1988	Lyttelton	OK
NA	Hector's dolphin	CheBP10	NA	Pegasus Bay, Sumner	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notescaught by fishermen, CSLP observer programmeweight 27.7kgalternate code = CETOS 98108	NA	CHEBP10	NA	CheBP10	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	MONZ 2011	CETOS 8730	NA	F	C	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	30-Jan-1987	Pegasus Bay	OK
NA	Hector's dolphin	CheBP11	NA	Pegasus Bay, 15-17nm NE Godley Head	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notescaught by fishermen, CSLP observer programmeweight 26.6kgalternate code = CETOS 98115	The BP code was not metioned on the lable and I think this sample is CheBP52 based on the order of Massey and nacropsy codes (Massey code: WB98-20Ch, Ncode: 29385)	CHEBP11	NA	CheBP11	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	MONZ 2008	CETOS 8736	NA	F	A	15	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	2-Oct-1987	Pegasus Bay	OK
NA	Hector's dolphin	CheBP12	NA	Pegasus Bay, New Brighton Beach	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesgillnetalternate code = CETOS 8737, monz2002	Two samples, one disposed. Masey code: WB98-21Ch	CHEBP12	NA	CheBP12	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	MONZ 2002	CETOS 8737	NA	F	C	17	yes	yes	Other_info originally associated with CHE99NZ01, changed based on DOC_Massey;Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	4-Nov-1987	Pegasus Bay	OK
